ID	SVM score	Prediction
ADY31832.1	1.3374044	DNA-binding protein
ADY31864.1	1.3923234	DNA-binding protein
ADY31868.1	-0.46972219	non DNA-binding protein
ADY31889.1	-1.6351067	non DNA-binding protein
ADY31905.1	-1.3563725	non DNA-binding protein
ADY31916.1	-2.0706419	non DNA-binding protein
ADY31935.1	-0.56109574	non DNA-binding protein
ADY32033.1	0.20461069	DNA-binding protein
ADY32041.1	-2.7134713	non DNA-binding protein
ADY32159.1	-0.50945971	non DNA-binding protein
ADY32212.1	-0.65987121	non DNA-binding protein
ADY32260.1	-0.86757596	non DNA-binding protein
ADY32319.1	-1.4294268	non DNA-binding protein
ADY32393.1	-0.26744525	non DNA-binding protein
ADY32466.1	-1.0606431	non DNA-binding protein
ADY32519.1	0.071146685	DNA-binding protein
ADY32524.1	-0.018208243	non DNA-binding protein
ADY32548.1	-1.34943	non DNA-binding protein
ADY32621.1	-0.17814575	non DNA-binding protein
ADY32644.1	-0.66690348	non DNA-binding protein
ADY32716.1	-1.1567411	non DNA-binding protein
ADY32720.1	-1.4403629	non DNA-binding protein
ADY32722.1	-1.022803	non DNA-binding protein
ADY32730.1	-0.49799812	non DNA-binding protein
ADY32757.1	1.6581717	DNA-binding protein
ADY32819.1	-0.54657491	non DNA-binding protein
ADY32849.1	-1.053158	non DNA-binding protein
ADY32852.1	-0.86038778	non DNA-binding protein
ADY32925.1	-0.96431879	non DNA-binding protein
ADY32956.1	-0.064174721	non DNA-binding protein
ADY32985.1	-0.6119032	non DNA-binding protein
ADY33039.1	0.97644609	DNA-binding protein
ADY33041.1	-0.83774918	non DNA-binding protein
ADY33078.1	0.060702351	DNA-binding protein
ADY33155.1	-3.5770159	non DNA-binding protein
ADY33181.1	-0.21503388	non DNA-binding protein
ADY33449.1	-1.8364626	non DNA-binding protein
ADY33520.1	-1.553933	non DNA-binding protein
ADY33569.1	0.12297022	DNA-binding protein
ADY33571.1	1.2694749	DNA-binding protein
ADY33586.1	-2.2308152	non DNA-binding protein
ADY33596.1	0.042730965	DNA-binding protein
ADY33688.1	-0.11527284	non DNA-binding protein
ADY33764.1	-0.73356172	non DNA-binding protein
ADY33860.1	0.16701921	DNA-binding protein
ADY33862.1	-0.30517455	non DNA-binding protein
ADY33981.1	-0.60390309	non DNA-binding protein
ADY33988.1	-0.94825499	non DNA-binding protein
ADY34009.1	-1.1045356	non DNA-binding protein
ADY34057.1	-6.3711699	non DNA-binding protein
ADY34204.1	-2.2010036	non DNA-binding protein
ADY34321.1	-0.017791384	non DNA-binding protein
ADY34327.1	0.2110797	DNA-binding protein
ADY34469.1	-2.5828488	non DNA-binding protein
ADY34518.1	-1.6933329	non DNA-binding protein
ADY34524.1	-3.5260007	non DNA-binding protein
ADY34530.1	-1.4465016	non DNA-binding protein
AIH03383.1	-0.92672239	non DNA-binding protein
AIH03412.1	1.3042664	DNA-binding protein
AIH03458.1	-2.0396424	non DNA-binding protein
AIH03490.1	-0.96389662	non DNA-binding protein
AIH03550.1	-2.7137605	non DNA-binding protein
AIH03599.1	-0.084436399	non DNA-binding protein
AIH03601.1	-5.6922642	non DNA-binding protein
AIH03603.1	0.15909249	DNA-binding protein
AIH03626.1	-0.21963636	non DNA-binding protein
AIH03746.1	0.42250689	DNA-binding protein
AIH03849.1	2.6982389	DNA-binding protein
AIH03885.1	-1.3834578	non DNA-binding protein
AIH03901.1	-0.050829166	non DNA-binding protein
AIH03952.1	-2.6848602	non DNA-binding protein
AIH04005.1	1.3139398	DNA-binding protein
AIH04312.1	-1.4081605	non DNA-binding protein
AIH04375.1	-0.044330026	non DNA-binding protein
AIH04379.1	-0.86296217	non DNA-binding protein
AIH04409.1	1.6713426	DNA-binding protein
AIH04464.1	0.85427105	DNA-binding protein
AIH04470.1	-0.65912831	non DNA-binding protein
AIH04477.1	1.3746103	DNA-binding protein
AIH04480.1	2.0491703	DNA-binding protein
AIH04483.1	0.14056007	DNA-binding protein
AIH04494.1	-1.5416032	non DNA-binding protein
AIH04501.1	2.4652662	DNA-binding protein
AIH04582.1	-1.1862217	non DNA-binding protein
AIH04746.1	0.87607082	DNA-binding protein
AIH04752.1	1.8104391	DNA-binding protein
AIH04788.1	-1.7298114	non DNA-binding protein
CUN33794.1	-1.0800124	non DNA-binding protein
CUN33799.1	0.91177442	DNA-binding protein
CUN39204.1	-2.7718554	non DNA-binding protein
CUN39488.1	-0.98359026	non DNA-binding protein
CUN43811.1	-1.2473848	non DNA-binding protein
CUN45232.1	-2.1467446	non DNA-binding protein
CUN48612.1	-1.5638409	non DNA-binding protein
CUN50806.1	-0.91033313	non DNA-binding protein
CUN56465.1	1.3434928	DNA-binding protein
CUN64962.1	-1.4824028	non DNA-binding protein
CUN73616.1	0.67359511	DNA-binding protein
CUN75354.1	-1.4975149	non DNA-binding protein
CUN77670.1	-1.7537598	non DNA-binding protein
CUN82022.1	-2.0692111	non DNA-binding protein
CUN84526.1	-2.7772984	non DNA-binding protein
CUN84876.1	-0.066809192	non DNA-binding protein
CUN86725.1	-3.5520527	non DNA-binding protein
CUN86761.1	-2.6686838	non DNA-binding protein
CUN87722.1	0.14033708	DNA-binding protein
CUN92056.1	-2.3861089	non DNA-binding protein
CUN92142.1	-0.42490762	non DNA-binding protein
CUO00418.1	-1.9594787	non DNA-binding protein
CUO08983.1	-0.84106918	non DNA-binding protein
CUO09136.1	-0.98560813	non DNA-binding protein
CUO09746.1	-2.8748782	non DNA-binding protein
CUO09886.1	-0.34724552	non DNA-binding protein
CUO11395.1	-0.23034527	non DNA-binding protein
CUO14343.1	-0.82522037	non DNA-binding protein
CUO15930.1	-0.27887841	non DNA-binding protein
CUO16836.1	0.72216511	DNA-binding protein
CUO19244.1	-3.2452255	non DNA-binding protein
CUO22289.1	-0.84672677	non DNA-binding protein
CUO24348.1	-0.82019858	non DNA-binding protein
CUO28966.1	-2.2611977	non DNA-binding protein
CUO29207.1	-1.9285578	non DNA-binding protein
CUO29393.1	-1.9553458	non DNA-binding protein
CUO30797.1	0.16475522	DNA-binding protein
CUO32360.1	-1.3114081	non DNA-binding protein
CUO32406.1	-1.1915528	non DNA-binding protein
CUO35785.1	-0.11252494	non DNA-binding protein
CUO37823.1	-2.1680516	non DNA-binding protein
CUO41223.1	-0.18837337	non DNA-binding protein
